Date,FilingDate,FilingID,AccessionNumber,Form,Source,Ticker,Company,Title,CUSIP,LEI,Shares,Value,PctValue
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,VoiceStream Wireless Corp,VoiceStream Wireless Corp,,,321100.0,37267669.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Applied Materials, Inc","Applied Materials, Inc",,,587100.0,34822369.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Yahoo! Inc,Yahoo! Inc,,,371100.0,33770107.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"ADC Telecommunications, Inc","ADC Telecommunications, Inc",,,1231200.0,33107737.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,6.48% due 10/02/00,6.48% due 10/02/00,,,29497730.0,29497730.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Level 3 Communications, Inc","Level 3 Communications, Inc",,,355700.0,27433362.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Paychex, Inc","Paychex, Inc",,,493400.0,25903500.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Adobe Systems, Inc","Adobe Systems, Inc",,,165500.0,25693875.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Comverse Technology, Inc","Comverse Technology, Inc",,,237800.0,25682400.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Comcast Corp., Special Class A","Comcast Corp., Special Class A",,,598100.0,24484719.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Telefonaktiebolaget LM Ericsson, Sponsored ADR","Telefonaktiebolaget LM Ericsson, Sponsored ADR",,,1643400.0,24342862.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Medimmune, Inc","Medimmune, Inc",,,313700.0,24233325.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Vitesse Semiconductor Corp,Vitesse Semiconductor Corp,,,271900.0,24182106.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Sanmina Corp,Sanmina Corp,,,225300.0,21093712.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Intuit, Inc","Intuit, Inc",,,358100.0,20411700.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"eBay, Inc","eBay, Inc",,,279700.0,19211894.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"NTL, Inc","NTL, Inc",,,392900.0,18196181.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Metromedia Fiber Network, Inc., Class A","Metromedia Fiber Network, Inc., Class A",,,736100.0,17896431.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"EchoStar Communications Corp., Class A","EchoStar Communications Corp., Class A",,,338100.0,17834775.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Apple Computer, Inc","Apple Computer, Inc",,,632500.0,16286875.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,6.40% due 10/02/00,6.40% due 10/02/00,,,16190992.0,16190992.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,6.50% due 10/02/00,6.50% due 10/02/00,,,16190992.0,16190992.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Chiron Corp,Chiron Corp,,,357200.0,16074000.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Tellabs, Inc","Tellabs, Inc",,,326100.0,15571275.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Biogen, Inc","Biogen, Inc",,,254100.0,15500100.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Peoplesoft, Inc","Peoplesoft, Inc",,,551400.0,15404737.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Conexant Systems, Inc","Conexant Systems, Inc",,,351200.0,14706500.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Starbucks Corp,Starbucks Corp,,,363400.0,14558712.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"NEXTLINK Communications, Inc., Class A","NEXTLINK Communications, Inc., Class A",,,406500.0,14303719.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Lycos, Inc","Lycos, Inc",,,192300.0,13223630.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,KLA-Tencor Corp,KLA-Tencor Corp,,,314800.0,12965825.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Fiserv, Inc","Fiserv, Inc",,,216400.0,12956950.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Bed Bath & Beyond, Inc","Bed Bath & Beyond, Inc",,,530600.0,12941666.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Amazon.com, Inc","Amazon.com, Inc",,,329600.0,12669000.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"CMGI, Inc","CMGI, Inc",,,452400.0,12638925.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Cintas Corp,Cintas Corp,,,282200.0,12293337.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Concord EFS, Inc","Concord EFS, Inc",,,339400.0,12054003.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Biomet, Inc","Biomet, Inc",,,335200.0,11732000.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Costco Wholesale Corp,Costco Wholesale Corp,,,329700.0,11518894.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Qlogic Corp,Qlogic Corp,,,128300.0,11290400.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"USA Networks, Inc","USA Networks, Inc",,,485900.0,10659431.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"BroadVision, Inc","BroadVision, Inc",,,404200.0,10382887.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Genzyme Corp. -- General Division,Genzyme Corp. -- General Division,,,152100.0,10371319.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"McLeodUSA, Inc., Class A","McLeodUSA, Inc., Class A",,,657500.0,9410469.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Electronic Arts, Inc","Electronic Arts, Inc",,,184500.0,9109687.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,PanAmSat Corp,PanAmSat Corp,,,281900.0,9003181.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"RF Micro Devices, Inc","RF Micro Devices, Inc",,,255800.0,8185600.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"RealNetworks, Inc","RealNetworks, Inc",,,205300.0,8160675.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Molex, Inc","Molex, Inc",,,135900.0,7398056.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Atmel Corp,Atmel Corp,,,483200.0,7338600.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,American Power Conversion Corp,American Power Conversion Corp,,,357000.0,6849937.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Citrix Systems, Inc","Citrix Systems, Inc",,,307700.0,6173231.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Staples, Inc","Staples, Inc",,,429000.0,6086437.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"At Home Corp., Series A","At Home Corp., Series A",,,409400.0,5782775.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Parametric Technology Corp,Parametric Technology Corp,,,516500.0,5649219.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Dollar Tree Stores, Inc","Dollar Tree Stores, Inc",,,137200.0,5565175.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Novell, Inc","Novell, Inc",,,542800.0,5394075.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Adelphia Communications, Class A","Adelphia Communications, Class A",,,183300.0,5052206.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"BMC Software, Inc","BMC Software, Inc",,,262100.0,5012662.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,3Com Corp,3Com Corp,,,248300.0,4764256.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Network Associates, Inc","Network Associates, Inc",,,200000.0,4525000.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"PACCAR, Inc","PACCAR, Inc",,,120400.0,4462325.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Synopsys, Inc","Synopsys, Inc",,,105400.0,3992025.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Smurfit-Stone Container Corp,Smurfit-Stone Container Corp,,,332400.0,3988800.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Sigma-Aldrich Corp,Sigma-Aldrich Corp,,,118400.0,3907200.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"CNET Networks, Inc","CNET Networks, Inc",,,138100.0,3364030.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Compuware Corp,Compuware Corp,,,312900.0,2620537.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,September,September,,,30.0,2000.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Microsoft Corp,Microsoft Corp,,,1871600.0,102353120.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Intel Corp,Intel Corp,,,2400700.0,63168418.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Qualcomm, Inc","Qualcomm, Inc",,,928100.0,52553663.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Cisco Systems, Inc","Cisco Systems, Inc",,,2617300.0,41386056.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Oracle Corp,Oracle Corp,,,2375500.0,35584990.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Amgen, Inc","Amgen, Inc",,,494800.0,29780775.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,VoiceStream Wireless Corp,VoiceStream Wireless Corp,,,283100.0,26151386.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,JDS Uniphase Corp,JDS Uniphase Corp,,,1368800.0,25237250.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Dell Computer Corp,Dell Computer Corp,,,972300.0,24975956.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Sun Microsystems, Inc","Sun Microsystems, Inc",,,1445300.0,22214261.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"WorldCom, Inc","WorldCom, Inc",,,1054900.0,19713444.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Comcast Corp,Comcast Corp,,,454200.0,19048013.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Veritas Software Corp,Veritas Software Corp,,,409000.0,18912160.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Applied Materials, Inc","Applied Materials, Inc",,,426400.0,18548400.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Linear Technology Corp,Linear Technology Corp,,,430600.0,17681513.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Maxim Integrated Products,Maxim Integrated Products,,,404400.0,16818996.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Xilinx, Inc","Xilinx, Inc",,,447000.0,15700875.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,CIENA Corp,CIENA Corp,,,363100.0,15159425.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Siebel Systems, Inc","Siebel Systems, Inc",,,513100.0,13956320.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Nextel Communications, Inc","Nextel Communications, Inc",,,953500.0,13706563.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Paychex, Inc","Paychex, Inc",,,360600.0,13364738.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Gemstar-TV Guide International, Inc","Gemstar-TV Guide International, Inc",,,439000.0,12621250.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Altera Corp,Altera Corp,,,558600.0,11974988.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Chiron Corp,Chiron Corp,,,269200.0,11811150.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Biogen, Inc","Biogen, Inc",,,184600.0,11687488.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Starbucks Corp,Starbucks Corp,,,267400.0,11347788.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Check Point Software Technologies,Check Point Software Technologies,,,233600.0,11096000.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Apple Computer, Inc","Apple Computer, Inc",,,491700.0,10851819.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Immunex Corp,Immunex Corp,,,755400.0,10811663.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"BEA Systems, Inc","BEA Systems, Inc",,,363400.0,10674875.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Comverse Technology, Inc","Comverse Technology, Inc",,,175000.0,10305750.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Concord EFS, Inc","Concord EFS, Inc",,,249000.0,10146750.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Genzyme Corp - Genl Division,Genzyme Corp - Genl Division,,,112200.0,10135026.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Tellabs, Inc","Tellabs, Inc",,,238500.0,9703969.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Peoplesoft, Inc","Peoplesoft, Inc",,,410900.0,9630469.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Biomet, Inc","Biomet, Inc",,,244400.0,9627069.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Bed Bath & Beyond, Inc","Bed Bath & Beyond, Inc",,,391700.0,9621131.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Costco Wholesale Corp,Costco Wholesale Corp,,,239800.0,9412150.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Kla-Tencor Corp,Kla-Tencor Corp,,,227500.0,8957813.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"USA Networks, Inc","USA Networks, Inc",,,353900.0,8471481.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"ADC Telecommunications, Inc","ADC Telecommunications, Inc",,,992200.0,8433700.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Adobe Systems, Inc","Adobe Systems, Inc",,,239500.0,8375315.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Medimmune, Inc","Medimmune, Inc",,,230200.0,8258425.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,Cintas Corp,Cintas Corp,,,205800.0,8112636.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Juniper Networks, Inc","Juniper Networks, Inc",,,212100.0,8051316.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,PanAmSat Corp,PanAmSat Corp,,,204900.0,8029519.0,0.0
2001-03-31,2001-05-29,a2046433zn-30d.txt,0000912057-01-517867,N-30D,SEC-RYDEX-NDX,,"Flextronics International, Ltd","Flextronics International, Ltd",,,516000.0,7740000.0,0.0
