Date,FilingDate,FilingID,Company,Shares,Value,Form,Source,ParserMethod,DateQuality
2001-09-30,2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"BroadVision, Inc",6915104,6292745,485BPOS,SEC,repeated-schedule-pages,reported-as-of
2001-09-30,2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"Metromedia Fiber Network, Inc",13636224,4636316,485BPOS,SEC,repeated-schedule-pages,reported-as-of
2001-09-30,2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,"XO Communications, Inc",8395226,3442043,485BPOS,SEC,repeated-schedule-pages,reported-as-of
2001-09-30,2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,Exodus Communications,13646196,2319853,485BPOS,SEC,repeated-schedule-pages,reported-as-of
2001-09-30,2002-02-01,2002-02-01_0000912057-02-003740_a2068197z485bpos.txt,At Home Corporation,5842332,876350,485BPOS,SEC,repeated-schedule-pages,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Microsoft Corporation,46080771,2015572924,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Intel Corporation,58097152,806969441,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Cisco Systems, Inc.",65069139,681924577,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,QUALCOMM Inc,23331959,644428708,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Amgen Inc.,14829910,618407247,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Dell Computer Corporation,23758718,558567460,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Oracle Corporation,55874409,439172855,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Bed Bath & Beyond Inc.,9777255,318445195,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Intuit Inc.,6635695,302123193,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Maxim Integrated Products, Inc.",11263686,278888865,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Starbucks Corporation,13440810,277418318,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,eBay Inc.,5232345,276320140,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Applied Materials, Inc.",21215512,245039164,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Biomet, Inc",8825002,235009803,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Comcast Corporation,11183113,233279737,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Electronic Arts Inc.,3494141,230473540,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Chiron Corporation,6579326,229881650,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Concord EFS, Inc.",14406129,228769329,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Linear Technology Corporation,10560295,218809312,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Paychex, Inc",8879370,215502310,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Cintas Corporation,5080860,212989651,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Nextel Communications, Inc.",28052009,211792668,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,USA Interactive,10902655,211293454,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Costco Wholesale Corporation,5962830,193016807,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Apollo Group, Inc.",4367381,189675357,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Apple Computer, Inc.",12460540,180677830,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Xilinx, Inc.",11146426,176537095,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,IDEC Pharmaceuticals Corporation,4131484,171539216,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Fiserv, Inc.",5986505,168101060,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Gilead Sciences, Inc.",4801017,160978100,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,KLA-Tencor Corporation,5704843,159393313,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,VERITAS Software Corporation,10444594,153222194,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"MedImmune, Inc.",6681367,139774198,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Genzyme Corporation,6687066,137820430,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"PeopleSoft, Inc.",10980411,135827684,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Biogen, Inc.",4542949,132972117,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Symantec Corporation,3714284,124911371,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Altera Corporation,13372192,115936905,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Adobe Systems Incorporated,5855565,111841292,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,PACCAR Inc,3233244,109251315,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,EchoStar Communications Corporation,6225460,107700458,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Staples, Inc.",7847688,100371930,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Amazon.com, Inc.",6288385,100173973,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Flextronics International Ltd.,13954490,97290704,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Express Scripts, Inc.",1749128,95362459,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"CDW Computer Centers, Inc.",2180442,92363523,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Sun Microsystems, Inc.",35152548,91045099,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,PanAmSat Corporation,5030252,87274872,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Sigma-Aldrich Corporation,1751336,86288325,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Microchip Technology Incorporated,4178399,85448260,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Check Point Software Technologies Ltd.,5971005,82041609,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Siebel Systems, Inc.",13935150,80127113,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Lincare Holdings Inc.,2552224,79221033,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Novellus Systems, Inc.",3640328,75755226,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Smurfit-Stone Container Corporation,5969279,75033837,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Millennium Pharmaceuticals, Inc.",7763918,72359716,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,JDS Uniphase Corporation,35685575,69515500,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Yahoo! Inc.,7186624,68775992,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Synopsys, Inc.",1751108,66804770,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Network Appliance, Inc.",8759073,64204005,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,QLogic Corporation,2369866,61711311,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Dollar Tree Stores, Inc.",2733519,60246759,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Molex Incorporated,2432369,57209319,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Cephalon, Inc.",1255725,51258695,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Broadcom Corporation,4568612,48792776,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"BEA Systems, Inc.",9365200,48511736,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Brocade Communications Systems, Inc.",5932438,44671258,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Invitrogen Corporation,1243141,42353814,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Sanmina-SCI Corporation,13940261,38614523,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Human Genome Sciences, Inc.",3185867,38421556,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Andrx Corp,1734029,38408742,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Mercury Interactive Corporation,2227499,38223883,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,CIENA Corporation,12756218,37885967,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,NVIDIA Corporation,4099707,35093492,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Cytyc Corporation,3227377,34597481,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Comverse Technology, Inc.",4833369,33785249,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,ICOS Corporation,1496914,31390287,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Citrix Systems, Inc.",5174223,31200565,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"Juniper Networks, Inc.",6057786,29077373,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"RF Micro Devices, Inc.",4775274,28651644,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"ADC Telecommunications, Inc.",24751291,28463985,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,"VeriSign, Inc.",5554441,28049927,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,Gemstar-TV Guide International Inc.,10823373,27274900,485BPOS,SEC,text-schedule,reported-as-of
2002-09-30,2003-01-31,2003-01-31_0001206774-03-000033_d11781.txt,TMP Worldwide Inc.,2982335,26841015,485BPOS,SEC,text-schedule,reported-as-of
